0	125
1	120
2	124
3	123
4	122
5	121
6	118
7	116
8	114
9	112
10	110
11	117
12	115
13	113
14	111
15	119
16	88
17	84
18	89
19	91
20	87
21	83
22	79
23	90
24	94
25	86
26	81
27	85
28	93
29	92
30	82
31	80
32	107
33	108
34	109
35	76
36	78
37	77
38	63
39 	59
40	62
41	67
42	68
43	64
44	57
45	61
46	70
47	72
48	65
49	60
50	66
51	71
52	69
53	58
54	105
55	106
56	104
57	73
58	75
59	74
60	47
61	42
62	43
63	46
64	51
65	48
66	38
67	40
68	45
69	53
70	49
71	39
72	44
73	52
74	50
75	41
76	101
77	102
78	103
79	54
80	56
81	55
82	18
83	22
84	23
85	17
86	20
87	21
88	29
89	31
90	16
91	25
92	27
93	30
94	24
95	19
96	26
97	28
98	99
99	98
100	100
101	36
102	37
103	35
104	2
105	5
106	4
107	1
108	7
109	6
110	13
111	15
112	0
113	9
114	11
115	14
116	3
117	8
118	10
119	12
120	95
121	97
122	96
123	33
124	34
125	32
